
Complax: 3,  ,  ,  ,  ,  ,-,-,  ,  ,  ,  ,  ,  ,  ,Self,-,

protocol number:2
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,  ,  ,  ,  ,+,+,

Complax: 2,  ,  ,-,-,  ,  ,

Complax: 3,Self,Self,  ,  ,  ,  ,

protocol number:3
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:4
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:5
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:6
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:7
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,Self,-,  ,

Complax: 2,  ,  ,Self,

Complax: 3,  ,  ,  ,

protocol number:8
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,Self,

Complax: 2,  ,

Complax: 3,  ,

protocol number:9
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:10
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:11
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:12
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:13
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:14
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

protocol number:15
Iteration:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,

Complax: 1,

Complax: 2,

Complax: 3,

